from_id;to_id;walk_t;walk_d;pt_r_tt;pt_r_t;pt_r_d;pt_m_tt;pt_m_t;pt_m_d;car_r_t;car_r_d;car_m_t;car_m_d
5943994;5859425;289;20239;96;89;23468;105;96;28802;44;25204;38;24903
5943995;5859425;291;20376;96;90;24797;104;92;23841;43;25343;38;25042
5943996;5859425;296;20698;94;86;24536;101;88;23580;44;25139;38;24838
5943997;5859425;296;20737;91;82;23436;99;86;23436;43;24757;37;24456
5943998;5859425;298;20842;92;84;23561;99;88;23561;46;25141;41;24841
5943999;5859425;311;21755;99;92;23903;109;94;30944;43;24852;38;24556
5944000;5859425;307;21488;96;89;24778;103;90;25408;43;25927;38;25626
5944001;5859425;311;21745;96;91;25695;102;90;25026;40;25599;35;25299
5944002;5859425;314;21952;94;82;24712;97;85;24712;42;25193;37;24892
5944003;5859425;320;22400;94;84;24522;100;87;24522;39;24946;34;24646
5944004;5859425;324;22684;99;91;24735;104;88;31221;40;25027;36;24726
5944005;5859425;325;22719;99;92;32262;104;87;31180;41;25728;36;25427
5944006;5859425;328;22952;102;96;32502;106;91;31419;41;25679;36;25378
5944007;5859425;328;22973;107;100;32682;108;93;31600;41;26124;36;25824
5944008;5859425;332;23260;113;103;32988;113;98;31905;42;26468;37;26168
5944009;5859425;336;23533;116;106;33261;118;101;32178;46;26843;41;26543
5944010;5859425;342;23966;116;108;27692;124;118;34992;46;27041;40;26741
5944011;5859425;356;24934;116;106;34857;119;101;33774;48;28170;42;27868
5944012;5859425;358;25030;116;108;34967;118;103;33884;47;28156;41;27854
5944013;5859425;359;25115;110;98;28410;115;102;29152;48;28282;42;27980
5944014;5859425;360;25228;107;95;28226;111;99;28968;48;26339;42;26292
5944015;5859425;364;25506;112;99;28510;115;103;29252;48;28771;42;28470
5944016;5859425;367;25662;113;103;28801;116;100;34823;50;27013;44;28917
5944017;5859425;370;25897;116;109;36168;119;102;34974;50;26740;44;26721
5944018;5859425;372;26048;118;109;36203;120;104;35120;52;27227;46;29137
5944019;5859425;375;26260;124;111;36326;123;106;35243;47;26952;41;26933
5944020;5859425;384;26906;127;118;37919;127;115;36466;48;27077;43;27059
5944021;5859425;382;26722;127;115;38057;130;117;36560;48;26840;43;26821
5944022;5859425;383;26822;127;116;38117;134;124;38117;48;26831;42;26812
5944023;5859425;388;27142;135;125;43069;140;123;36118;47;27152;41;27166
5944024;5859425;391;27365;135;125;42743;142;127;36341;46;26899;41;26913
5944025;5859425;394;27603;140;126;42790;144;130;36579;47;27090;42;27055
5944026;5859425;402;28149;147;138;38451;150;135;39436;48;27467;43;27482
5944027;5859425;415;29080;164;152;43000;166;150;41631;48;27492;43;27507
5944028;5859425;407;28464;153;144;42384;161;142;41015;47;27383;42;27398
5944029;5859425;411;28765;158;148;42684;163;146;41315;50;27752;45;27767
5945687;5859425;354;24787;143;132;35466;137;125;34653;43;28683;39;28683
5945688;5859425;351;24546;142;128;35060;137;122;34411;43;28440;38;28440
5945689;5859425;347;24303;140;125;34818;136;118;34168;42;28201;38;28201
5945690;5859425;344;24080;140;124;35103;136;115;33946;43;28007;38;28007
5945691;5859425;342;23944;136;120;34458;130;113;33809;42;27728;38;27728
5945692;5859425;337;23569;138;120;34497;130;113;33848;43;27919;38;27919
5945693;5859425;339;23728;142;125;34808;136;118;34158;44;28249;39;28249
5945694;5859425;333;23304;138;123;33878;136;116;33229;43;27673;38;27673
5945695;5859425;335;23446;140;124;33993;136;117;33344;44;27601;39;27601
5945696;5859425;325;22756;136;119;33302;130;114;32653;44;26273;39;26273
5945697;5859425;323;22624;135;117;33170;128;112;32521;41;26286;37;26286
5945698;5859425;308;21532;133;118;33280;128;113;32631;41;25873;37;25873
5945699;5859425;304;21296;140;120;33278;136;120;33101;39;24794;35;24794
5945700;5859425;294;20606;131;112;32694;128;115;33600;37;24294;33;24294
5945701;5859425;294;20573;131;114;32811;129;117;33717;37;24358;33;24358
5945702;5859425;287;20072;131;113;32807;129;116;33713;35;23531;31;23531
